Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
bash,bump-18.4,Force,Basic Force,Polysemous,,,blat,1,,,Force,,,
bash,hit-18.1,Force,Basic Force,Polysemous,,,blaze,1,,,Force,,,
bash,throw-17.1,Motion,Throw,Polysemous,,,bleach,1,,,Motion,,,
bask,marvel-31.3,Affect,Affect,Monosemous,,,bleat,2,,,Affect,,,
bastardize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,bleed,3,,,Transformation,,,
baste,spray-9.7,Incremental,Basic Incremental,Monosemous,,,blemish,1,,,Incremental,,,
bat,crane-40.3.2,Existence,Existence,Polysemous,,,blench,1,,,Existence,,,
bat,throw-17.1,Motion,Throw,Polysemous,,,blend,2,,,Motion,,,
bathe,dress-41.1.1,Incremental,Basic Incremental,Monosemous,,,bless,2,,,Incremental,,,
bathe,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,blight,1,,,Incremental,,,
batter,hit-18.1,Force,Basic Force,Monosemous,,,blindfold,1,,,Force,,,
battle,battle-36.4,Affiliation,Reciprocal,Monosemous,,,blink,2,,,Affiliation,,,
battle,meet-36.3,Affiliation,Reciprocal,Monosemous,,,blister,1,,,Affiliation,,,
bawl,manner_speaking-37.3,Communication,Statement,Monosemous,,,blitz,1,,,Communication,,,
bay,animal_sounds-38,Creation,Emission,Monosemous,,,block,2,,,Creation,,,
be,exist-47.1,Existence,Existence,Polysemous,,,blockade,1,,,Existence,,,
be,representation-110.1,Association,Require and Satisfy,Polysemous,,,bloody,1,,,Association,,,
be_like,say-37.7,Communication,Statement,Monosemous,,,bloom,2,,,Communication,,,
beach,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,blossom,2,,,Incremental,,,
bead,build-26.1,Creation,Causative Creation,Polysemous,,,blot,1,,,Creation,,,
bead,illustrate-25.3,Incremental,Basic Incremental,Polysemous,,,blow,3,,,Incremental,,,
bead,substance_emission-43.4,Creation,Emission,Polysemous,,,blubber,2,,,Creation,,,
beam,light_emission-43.1,Creation,Emission,Polysemous,,,bludgeon,1,,,Creation,,,
beam,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,bluff,1,,,Existence,,,
bear,admire-31.2,Attend,Attend,Polysemous,,,blunt,1,,,Attend,,,
bear,birth-28.2,Creation,Causative Creation,Polysemous,,,blur,1,,,Creation,,,
bear,support-15.3,Force,Constrain,Polysemous,,,blurt,1,,,Force,,,
bear_on,relate-86.2,Association,Require and Satisfy,Monosemous,,,blush,1,,,Association,,,
beard,pit-10.7,Incremental,Causative Incremental,Monosemous,,,bluster,1,,,Incremental,,,
beat,crane-40.3.2,Existence,Existence,Polysemous,,,board,2,,,Existence,,,
beat,hit-18.1,Force,Basic Force,Polysemous,,,boast,1,,,Force,,,
beat,knead-26.5,Transformation,Basic Change of State,Polysemous,,,boat,1,,,Transformation,,,
beat,sound_emission-43.2,Creation,Emission,Polysemous,,,bob,3,,,Creation,,,
beautify,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,bobsled,1,,,Transformation,,,
beckon,wink-40.3.1,Existence,Existence,Monosemous,,,boggle,1,,,Existence,,,
bed,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,boil,2,,,Incremental,,,
bedew,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,boil_down,1,,,Transformation,,,
beep,sound_emission-43.2,Creation,Emission,Monosemous,,,bolshevize,1,,,Creation,,,
befall,occur-48.3,Existence,Existence,Monosemous,,,bolster,1,,,Existence,,,
befuddle,amuse-31.1,Affect,Affect,Monosemous,,,bolt,3,,,Affect,,,
beg,beg-58.2,Communication,Request,Monosemous,,,bomb,1,,,Communication,,,
beget,birth-28.2,Creation,Causative Creation,Polysemous,,,bombard,3,,,Creation,,,
beget,engender-27.1,Causation,Cause and Effect,Polysemous,,,bond,1,,,Causation,,,
beggar,orphan-29.7,Affiliation,Cause Role,Monosemous,,,bone,1,,,Affiliation,,,
beguile,amuse-31.1,Affect,Affect,Monosemous,,,bonk,1,,,Affect,,,
behave,masquerade-29.6,Affiliation,Role,Monosemous,,,boogie,1,,,Affiliation,,,
behead,poison-42.2,Transformation,Causative Change of State,Monosemous,,,book,2,,,Transformation,,,
behold,sight-30.2,Perception,Sense,Monosemous,,,boom,2,,,Perception,,,
belch,hiccup-40.1.1,Existence,Existence,Polysemous,,,boost,1,,,Existence,,,
belch,substance_emission-43.4,Creation,Emission,Polysemous,,,boot,2,,,Creation,,,
believe,admire-31.2,Attend,Attend,Polysemous,,,bop,2,,,Attend,,,
believe,conjecture-29.5,Cognition,Judge,Polysemous,,,border,1,,,Cognition,,,
belittle,judgment-33.1,Affiliation,Attack,Polysemous,,,bore,3,,,Affiliation,,,
belittle,judgment-33.1,Cognition,Judge,Polysemous,,,borrow,1,,,Cognition,,,
bellow,animal_sounds-38,Creation,Emission,Polysemous,,,boss,1,,,Creation,,,
bellow,manner_speaking-37.3,Communication,Statement,Polysemous,,,botch,1,,,Communication,,,
bellow,sound_emission-43.2,Creation,Emission,Polysemous,,,bother,1,,,Creation,,,
bellyache,complain-37.8,Communication,Statement,Monosemous,,,bottle,1,,,Communication,,,
belong,attend-107.4,Affiliation,Membership,Monosemous,,,bottlefeed,1,,,Affiliation,,,
belt,performance-26.7,Creation,Causative Creation,Polysemous,,,bounce,1,,,Creation,,,
belt,spank-18.3,Force,Basic Force,Polysemous,,,bound,2,,,Force,,,
belt,tape-22.4,Incremental,Basic Incremental,Polysemous,,,bow,2,,,Incremental,,,
bench,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,bowdlerize,1,,,Incremental,,,
bend,assuming_position-50,Existence,Existence,Polysemous,,,bowl,1,,,Existence,,,
bend,bend-45.2,Transformation,Basic Change of State,Polysemous,,,box,2,,,Transformation,,,
bend,knead-26.5,Transformation,Basic Change of State,Polysemous,,,bracket,3,,,Transformation,,,
bend,meander-47.7,Existence,Existence,Polysemous,,,brag,1,,,Existence,,,
bend,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,braid,1,,,Incremental,,,
bend,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,brain,1,,,Existence,,,
bequeath,future_having-13.3,Possession,Future Having,Monosemous,,,braise,1,,,Possession,,,
berate,judgment-33.1,Affiliation,Attack,Polysemous,,,branch,1,,,Affiliation,,,
berate,judgment-33.1,Cognition,Judge,Polysemous,,,brand,2,,,Cognition,,,
bereave,deprive-10.6.2,Possession,Transfer of Possession,Monosemous,,,brave,1,,,Possession,,,
berth,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,brawl,1,,,Incremental,,,
bestrew,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,bray,2,,,Incremental,,,
bestride,contiguous_location-47.8,Location,Location,Monosemous,,,bread,1,,,Location,,,
bet,bill-54.5,Possession,Transfer of Possession,Polysemous,,,break,4,,,Possession,,,
bet,bill-54.5,Possession,Pay and Charge,Polysemous,,,break_apart,1,,,Possession,,,
betroth,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,break_down,1,,,Possession,,,
better,exceed-90,Association,Require and Satisfy,Monosemous,,,break_up,1,,,Association,,,
bewail,admire-31.2,Attend,Attend,Monosemous,,,breakfast,1,,,Attend,,,
beware,marvel-31.3,Affect,Affect,Monosemous,,,breast,2,,,Affect,,,
bewilder,amuse-31.1,Affect,Affect,Monosemous,,,breastfeed,1,,,Affect,,,
bewitch,amuse-31.1,Affect,Affect,Polysemous,,,breathe,1,,,Affect,,,
bewitch,lure-59.3,Affiliation,Inducive,Polysemous,,,breeze,1,,,Affiliation,,,
bicker,battle-36.4,Affiliation,Reciprocal,Monosemous,,,brew,1,,,Affiliation,,,
bicycle,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,bribe,1,,,Motion,,,
biff,spank-18.3,Force,Basic Force,Monosemous,,,brick,1,,,Force,,,
bifurcate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,bridge,1,,,Transformation,,,
bike,drive-11.5,Motion,Vehicular Motion,Monosemous,,,bridle,1,,,Motion,,,
bike,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,brief,1,,,Motion,,,
bill,bill-54.5,Possession,Transfer of Possession,Polysemous,,,brighten,1,,,Possession,,,
bill,bill-54.5,Possession,Pay and Charge,Polysemous,,,bring,3,,,Possession,,,
bill,characterize-29.2,Communication,Statement,Polysemous,,,bring-out,1,,,Communication,,,
billet,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,bring-up,1,,,Incremental,,,
billow,entity_speciﬁc_modes_being-47.2,Existence,Existence,Monosemous,,,bring_about,1,,,Existence,,,
bin,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,bring_forth,1,,,Incremental,,,
bind,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,bring_in,1,,,Incremental,,,
birch,spank-18.3,Force,Basic Force,Monosemous,,,bristle,1,,,Force,,,
birth,birth-28.2,Creation,Causative Creation,Monosemous,,,broadcast,1,,,Creation,,,
bisect,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,broaden,1,,,Transformation,,,
bitch,complain-37.8,Communication,Statement,Monosemous,,,broil,2,,,Communication,,,
bite,hurt-40.8.3,Transformation,Hurt,Polysemous,,,bronze,1,,,Transformation,,,
bite,swat-18.2,Force,Basic Force,Polysemous,,,browbeat,1,,,Force,,,
bivouac,lodge-46,Location,Location,Monosemous,,,brown,1,,,Location,,,
blab,say-37.7,Communication,Statement,Monosemous,,,bruise,2,,,Communication,,,
blabber,say-37.7,Communication,Statement,Monosemous,,,brunch,1,,,Communication,,,
black,butter-9.9,Incremental,Causative Incremental,Monosemous,,,brush,4,,,Incremental,,,
black_out,change_bodily_state-40.8.4,Transformation,Basic Change of State,Monosemous,,,bubble,1,,,Transformation,,,
blacken,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,buck,1,,,Transformation,,,
blackmail,trick-59.2,Affiliation,Inducive,Monosemous,,,bucket,1,,,Affiliation,,,
blacktop,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,buckle,1,,,Incremental,,,
blame,judgment-33.1,Affiliation,Attack,Polysemous,,,bud,1,,,Affiliation,,,
blame,judgment-33.1,Cognition,Judge,Polysemous,,,buff,1,,,Cognition,,,
blanch,change_bodily_state-40.8.4,Transformation,Basic Change of State,Polysemous,,,buffet,1,,,Transformation,,,
blanch,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,bug,1,,,Transformation,,,
blanket,butter-9.9,Incremental,Causative Incremental,Polysemous,,,build,2,,,Incremental,,,
blanket,contiguous_location-47.8,Location,Location,Polysemous,,,build-in,1,,,Location,,,
blanket,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,bulge,1,,,Incremental,,,
blare,manner_speaking-37.3,Communication,Statement,Polysemous,,,bullet,1,,,Communication,,,
blare,sound_emission-43.2,Creation,Emission,Polysemous,,,bullock,1,,,Creation,,,
blaspheme,judgment-33.1,Affiliation,Attack,Polysemous,,,bullshit,1,,,Affiliation,,,
blaspheme,judgment-33.1,Cognition,Judge,Polysemous,,,bully,2,,,Cognition,,,
blast,hit-18.1,Force,Basic Force,Polysemous,,,bump,2,,,Force,,,
blast,remedy-45.7,Transformation,Causative Change of State,Polysemous,,,bungle,1,,,Transformation,,,
blast,sound_emission-43.2,Creation,Emission,Polysemous,,,bunk,1,,,Creation,,,
blat,animal_sounds-38,Creation,Emission,Monosemous,,,bunt,1,,,Creation,,,
blat,sound_emission-43.2,Creation,Emission,Monosemous,,,buoy,1,,,Creation,,,
blaze,light_emission-43.1,Creation,Emission,Monosemous,,,burble,2,,,Creation,,,
bleach,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,burden,1,,,Transformation,,,
bleat,animal_sounds-38,Creation,Emission,Polysemous,,,burgeon,1,,,Creation,,,
bleat,manner_speaking-37.3,Communication,Statement,Polysemous,,,burgle,1,,,Communication,,,
bleed,breathe-40.1.2,Creation,Emission,Polysemous,,,burl,1,,,Creation,,,
bleed,cheat-10.6.1,Possession,Transfer of Possession,Polysemous,,,burn,4,,,Possession,,,
bleed,marvel-31.3,Affect,Affect,Polysemous,,,burp,1,,,Affect,,,
bleed,rob-10.6.4,Possession,Transfer of Possession,Polysemous,,,burr,1,,,Possession,,,
bleed,steal-10.5,Possession,Transfer of Possession,Polysemous,,,burrow,1,,,Possession,,,
bleed,substance_emission-43.4,Creation,Emission,Polysemous,,,burst,2,,,Creation,,,
blemish,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,bury,1,,,Transformation,,,
blench,change_bodily_state-40.8.4,Transformation,Basic Change of State,Monosemous,,,bus,1,,,Transformation,,,
blend,mix-22.1,Incremental,Basic Incremental,Polysemous,,,bushwhack,1,,,Incremental,,,
blend,preparing-26.3,Creation,Causative Creation,Polysemous,,,bustle,2,,,Creation,,,
bless,judgment-33.1,Affiliation,Attack,Polysemous,,,butcher,2,,,Affiliation,,,
bless,judgment-33.1,Cognition,Judge,Polysemous,,,butler,1,,,Cognition,,,
blight,destroy-44,Transformation,Causative Change of State,Monosemous,,,butt,1,,,Transformation,,,
blindfold,butter-9.9,Incremental,Causative Incremental,Monosemous,,,butter,1,,,Incremental,,,
blink,hiccup-40.1.1,Existence,Existence,Polysemous,,,button,1,,,Existence,,,
blink,light_emission-43.1,Creation,Emission,Polysemous,,,buttonhole,1,,,Creation,,,
blink,wink-40.3.1,Existence,Existence,Polysemous,,,buttress,1,,,Existence,,,
blister,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,buy,3,,,Transformation,,,
blitz,destroy-44,Transformation,Causative Change of State,Monosemous,,,buy_the_farm,1,,,Transformation,,,
block,concealment-16,Incremental,Concealment,Polysemous,,,buzz,3,,,Incremental,,,
block,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,cab,1,,,Incremental,,,
blockade,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,cabbage,1,,,Incremental,,,
bloody,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,cable,2,,,Transformation,,,
bloom,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Polysemous,,,cackle,3,,,Transformation,,,
bloom,entity_speciﬁc_modes_being-47.2,Existence,Existence,Polysemous,,,caddy,1,,,Existence,,,
blossom,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Polysemous,,,cadge,2,,,Transformation,,,
blossom,entity_speciﬁc_modes_being-47.2,Existence,Existence,Polysemous,,,cage,1,,,Existence,,,
blot,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,cajole,1,,,Incremental,,,
blow,build-26.1,Creation,Causative Creation,Polysemous,,,calcify,1,,,Creation,,,
blow,crane-40.3.2,Existence,Existence,Polysemous,,,calibrate,1,,,Existence,,,
blow,split-23.2,Incremental,Basic Incremental,Polysemous,,,calk,1,,,Incremental,,,
blow,weather-57,Existence,Existence,Polysemous,,,call,5,,,Existence,,,
blubber,manner_speaking-37.3,Communication,Statement,Polysemous,,,call_forth,1,,,Communication,,,
blubber,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,call_on,1,,,Existence,,,
bludgeon,spank-18.3,Force,Basic Force,Monosemous,,,calm,1,,,Force,,,
bluff,trick-59.2,Affiliation,Inducive,Monosemous,,,calumniate,2,,,Affiliation,,,
blunt,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,calve,1,,,Transformation,,,
blur,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,camouflage,1,,,Transformation,,,
blurt,say-37.7,Communication,Statement,Monosemous,,,camp,1,,,Communication,,,
blush,hiccup-40.1.1,Existence,Existence,Monosemous,,,can,2,,,Existence,,,
bluster,manner_speaking-37.3,Communication,Statement,Monosemous,,,can_tell,1,,,Communication,,,
board,butter-9.9,Incremental,Causative Incremental,Polysemous,,,cancan,1,,,Incremental,,,
board,lodge-46,Location,Location,Polysemous,,,cane,1,,,Location,,,
boast,complain-37.8,Communication,Statement,Monosemous,,,canoe,1,,,Communication,,,
boat,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,canter,1,,,Motion,,,
bob,braid-41.2.2,Transformation,Causative Change of State,Polysemous,,,canvass,1,,,Transformation,,,
bob,curtsey-40.3.3,Communication,Statement,Polysemous,,,cap,2,,,Communication,,,
bob,modes_of_being_with_motion-47.3,Existence,Existence,Polysemous,,,capacitate,1,,,Existence,,,
bobsled,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,caper,1,,,Motion,,,
boggle,amuse-31.1,Affect,Affect,Monosemous,,,capsize,1,,,Affect,,,
boil,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,captain,1,,,Transformation,,,
boil,preparing-26.3,Creation,Causative Creation,Polysemous,,,captivate,1,,,Creation,,,
boil_down,transfer_mesg-37.1.1,Communication,Communicate,Monosemous,,,capture,1,,,Communication,,,
bolshevize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,caramelize,1,,,Transformation,,,
bolster,support-15.3,Force,Constrain,Monosemous,,,caravan,1,,,Force,,,
bolt,escape-51.1,Motion,Basic Motion,Polysemous,,,carbonify,1,,,Motion,,,
bolt,gobble-39.3,Transformation,Ingestion,Polysemous,,,carbonize,1,,,Transformation,,,
bolt,run-51.3.2,Motion,Basic Motion,Polysemous,,,care,1,,,Motion,,,
bolt,tape-22.4,Incremental,Basic Incremental,Polysemous,,,caress,1,,,Incremental,,,
bomb,attack-60.1,Affiliation,Attack,Monosemous,,,carjack,1,,,Affiliation,,,
bombard,attack-60.1,Affiliation,Attack,Polysemous,,,carol,1,,,Affiliation,,,
bombard,pelt-17.2,Force,Basic Force,Polysemous,,,carom,1,,,Force,,,
bombard,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,carpet,2,,,Incremental,,,
bond,tape-22.4,Incremental,Basic Incremental,Monosemous,,,carry,3,,,Incremental,,,
bone,pit-10.7,Incremental,Causative Incremental,Monosemous,,,cart,1,,,Incremental,,,
bonk,spank-18.3,Force,Basic Force,Monosemous,,,carve,4,,,Force,,,
boogie,waltz-51.5,Motion,Basic Motion,Monosemous,,,cascade,1,,,Motion,,,
book,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,case,1,,,Possession,,,
book,get-13.5.1,Possession,Buy and Sell,Polysemous,,,cash,2,,,Possession,,,
boom,animal_sounds-38,Creation,Emission,Polysemous,,,cast,3,,,Creation,,,
boom,manner_speaking-37.3,Communication,Statement,Polysemous,,,castigate,2,,,Communication,,,
boom,sound_emission-43.2,Creation,Emission,Polysemous,,,castrate,1,,,Creation,,,
boost,support-15.3,Force,Constrain,Monosemous,,,catalogue,1,,,Force,,,
boot,banish-10.2,Affiliation,Cause Membership,Polysemous,,,catapult,1,,,Affiliation,,,
boot,throw-17.1,Motion,Throw,Polysemous,,,catch,2,,,Motion,,,
bop,hit-18.1,Force,Basic Force,Polysemous,,,categorize,2,,,Force,,,
bop,waltz-51.5,Motion,Basic Motion,Polysemous,,,caterwaul,2,,,Motion,,,
border,contiguous_location-47.8,Location,Location,Monosemous,,,catholicize,1,,,Location,,,
bore,amuse-31.1,Affect,Affect,Polysemous,,,catnap,1,,,Affect,,,
bore,carve-21.2,Force,Basic Force,Polysemous,,,caulk,1,,,Force,,,
bore,rummage-35.5,Volition,Search,Polysemous,,,cause,1,,,Volition,,,
borrow,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,cauterize,1,,,Possession,,,
boss,captain-29.8,Affiliation,Role,Monosemous,,,caution,1,,,Affiliation,,,
botch,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,cavort,1,,,Transformation,,,
bother,amuse-31.1,Affect,Affect,Monosemous,,,caw,1,,,Affect,,,
bother,marvel-31.3,Affect,Affect,Monosemous,,,cede,1,,,Affect,,,
bottle,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,celebrate,2,,,Incremental,,,
bottlefeed,feeding-39.7,Transformation,Feeding,Monosemous,,,cellar,1,,,Transformation,,,
bounce,roll-51.3.1,Motion,Basic Motion,Monosemous,,,cement,1,,,Motion,,,
bounce,run-51.3.2,Motion,Basic Motion,Monosemous,,,censure,2,,,Motion,,,
